author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/304428700/;Серпухов};sale;flat;2;20;1;25.04;10141200;;;;;Новая Ливадия
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Серпухов};sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Дипломат;developer;https://krym.cian.ru/sale/flat/292124957/;Серпухов};sale;flat;2;5;1;65.7;24860880;;;;;Резиденция Дипломат
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Серпухов};sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Неометрия;developer;https://sochi.cian.ru/sale/flat/302444728/;Серпухов};sale;flat;8;10;1;22.2;26140500;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
ID 85604823;unknown;https://www.cian.ru/sale/flat/307014462/;Серпухов};sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540724/;Серпухов};sale;flat;2;16;1;37.9;5306000;Прикубанский; Западный обход;65/1;;Cармат
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Серпухов};sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Интеллект;developer;https://krym.cian.ru/sale/flat/295983885/;Серпухов};sale;flat;2;13;1;38.3;12928244;;;;;Парковая Резиденция
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Серпухов};sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Интеллект;developer;https://krym.cian.ru/sale/flat/306356337/;Серпухов};sale;flat;7;20;1;24.84;8609974;;;;;Крымская Резиденция
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Серпухов};sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
Эталон;developer;https://ekb.cian.ru/sale/flat/308412177/;Серпухов};sale;flat;2;5;1;38.08;5498522;;;;;Балтым-Парк
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Серпухов};sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
Перспектива;developer;https://krym.cian.ru/sale/flat/305496510/;Серпухов};sale;flat;2;8;1;70.3;16000000;Восход пгт; Наташинская;2Ж;;Монако
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303534103/;Серпухов};sale;flat;16;25;1;34.0;9700000;;;7;Ольховая;
СК10;developer;https://rostov.cian.ru/sale/flat/303045403/;Серпухов};sale;flat;24;25;1;33.37;4110000;Советский;;;;Малина парк
