author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Москва;sale;flat;11;12;1;33.5;8000000;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
VESPER;developer;https://www.cian.ru/sale/flat/306541560/;Москва;sale;flat;5;21;1;65.9;82172522;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Москва;sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308552017/;Москва;sale;flat;5;12;1;35.0;9500000;Богородское;1-я Гражданская ;99К1;Преображенская площадь;
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;45.0;23274675;Филевский парк;Береговой проезд;2;Фили;Береговой-2
ID 85604823;unknown;https://www.cian.ru/sale/flat/307014462/;Москва;sale;flat;6;42;1;42.0;26000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ID 123328834;homeowner;https://www.cian.ru/sale/flat/308676848/;Москва;sale;flat;6;14;1;36.0;13700000;Перово;Мартеновская ;11/12;Новогиреево;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243017/;Москва;sale;flat;2;27;1;45.7;21798900;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/306951824/;Москва;sale;flat;5;21;1;21.66;5500000;Тропарево-Никулино;Востряковское шоссе;7с3;Озёрная;Комплекс апартаментов CITIMIX
MR Group;developer;https://www.cian.ru/sale/flat/300288940/;Москва;sale;flat;37;54;1;38.99;19328123;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Мария Рыськина;realtor;https://www.cian.ru/sale/flat/308543607/;Москва;sale;flat;5;12;1;33.5;14500000;Беговой;Ленинградский проспект;33А;Динамо;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308081007/;Москва;sale;flat;4;6;1;50.2;57228000;Замоскворечье;Космодамианская набережная;4/22С9;Новокузнецкая;Клубный дом Космо 4/22
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/300522888/;Москва;sale;flat;4;5;1;14.4;3450000;Перово; 2-я Энтузиастов;5;Авиамоторная;
Среда;developer;https://www.cian.ru/sale/flat/304753663/;Москва;sale;flat;2;44;1;31.61;14381127;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Москва;sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
Mikhail Uger;realtor;https://www.cian.ru/sale/flat/304113525/;Москва;sale;flat;17;25;1;36.8;9900000;Чертаново Северное;Северное Чертаново мкр;7кБ;Чертановская;
MR Group;developer;https://www.cian.ru/sale/flat/308802713/;Москва;sale;flat;2;46;1;34.8;16375836;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303534103/;Москва;sale;flat;16;25;1;34.0;9700000;;;7;Ольховая;
ID 29360429;realtor;https://www.cian.ru/sale/flat/308762582/;Москва;sale;flat;28;32;1;43.0;16990000;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
Главстрой;developer;https://www.cian.ru/sale/flat/307942491/;Москва;sale;flat;7;35;1;39.22;18847239;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
ID 148596;homeowner;https://www.cian.ru/sale/flat/268629674/;Москва;sale;flat;10;10;1;38.5;11280000;Выхино-Жулебино;Жулебинский бульвар;6/11;Лермонтовский проспект;
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Москва;sale;flat;8;22;1;40.0;13290000;Марьино; Верхние Поля;36К2;Люблино;
Tekta Group;developer;https://www.cian.ru/sale/flat/305021240/;Москва;sale;flat;24;34;1;30.0;17691000;Обручевский;;;Воронцовская;Эвер ЖК
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва;sale;flat;4;6;1;59.35;101785250;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
ФЛИП;real_estate_agent;https://www.cian.ru/sale/flat/308499820/;Москва;sale;flat;1;5;1;31.3;8400000;Перово;Новогиреевская ;13;Перово;
MR Group;developer;https://www.cian.ru/sale/flat/308909121/;Москва;sale;flat;6;13;1;85.04;130383328;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307496200/;Москва;sale;flat;1;10;1;31.0;14500000;Раменки;Мичуринский проспект;10К1;Ломоносовский проспект;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308805101/;Москва;sale;flat;4;6;1;35.1;23000000;Басманный; Покровка;38С1;Курская;
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;139410000;Якиманка;;;Полянка;Лаврушинский ЖК
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/302630222/;Москва;sale;flat;25;45;1;64.0;40999999;Дорогомилово;Кутузовский проезд;16А/1;Шелепиха;River Park Кутузовский
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/308825799/;Москва;sale;flat;8;9;1;32.5;10800000;Тимирязевский; Костякова;2/6;Дмитровская;
TOUCH;developer;https://www.cian.ru/sale/flat/302838421/;Москва;sale;flat;7;13;1;45.3;27171760;Южнопортовый;;к2;Дубровка;Шампайн ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679592/;Москва;sale;flat;7;20;1;43.09;20252300;Даниловский;Автозаводская ;26;Тульская;FORST
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/305246392/;Москва;sale;flat;3;17;1;35.8;10399999;Марьино;Братиславская ;5;Братиславская;
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065733/;Москва;sale;flat;9;18;1;49.8;60432000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Павел Михайлов;realtor;https://www.cian.ru/sale/flat/308082096/;Москва;sale;flat;12;16;1;44.0;26296000;Раменки;проспект Генерала Дорохова;39к2Л;Минская;Собрание клубных домов West Garden
3SGroup;developer;https://www.cian.ru/sale/flat/305952762/;Москва;sale;flat;3;17;1;26.2;7511582;;;;Корниловская;FOREVILLE
COLDY;developer;https://www.cian.ru/sale/flat/307965932/;Москва;sale;flat;2;15;1;30.8;26977720;Даниловский; Серпуховский Вал;7с16;Тульская;Дом 7 Даниловский
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307091345/;Москва;sale;flat;16;17;1;35.1;16800000;Ярославский;Ярославское шоссе;51;ВДНХ;Я51
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/306448085/;Москва;sale;flat;9;16;1;19.0;6000000;Отрадное;Алтуфьевское шоссе;2;Владыкино;
Донстрой;developer;https://www.cian.ru/sale/flat/307641754/;Москва;sale;flat;13;21;1;37.7;19147830;Лефортово;;;Площадь Ильича;Символ ЖК
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833375/;Москва;sale;flat;15;28;1;40.0;30500000;Раменки;Винницкая ;8к3;Раменки;Настоящее
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/272828990/;Москва;sale;flat;6;17;1;38.0;9350000;; Авиаконструктора Петлякова;7;Пыхтино;Солнцево парк
Пионер;developer;https://www.cian.ru/sale/flat/308640077/;Москва;sale;flat;3;11;1;55.8;52675646;Даниловский;;;Павелецкая;Опус ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307505747/;Москва;sale;flat;10;12;1;55.0;32500000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
ID 93236063;homeowner;https://www.cian.ru/sale/flat/308417143/;Москва;sale;flat;3;12;1;37.0;15890000;Академический; Винокурова;2;Академическая;
Tekta Group;developer;https://www.cian.ru/sale/flat/306869031/;Москва;sale;flat;16;34;1;31.2;15178800;Нагорный;;2;Нагорная;Твелв ЖК
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/307494611/;Москва;sale;flat;2;44;1;48.1;25000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Место;real_estate_agent;https://www.cian.ru/sale/flat/308391305/;Москва;sale;flat;2;9;1;32.9;8900000;Богородское;Краснобогатырская ;75К2;Преображенская площадь;
Sminex;developer;https://www.cian.ru/sale/flat/308620473/;Москва;sale;flat;23;26;1;35.67;21910000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/306373900/;Москва;sale;flat;13;30;1;93.8;28999999;Щукино;проезд 4-й Красногорский;;Стрешнево;Moments
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/302751658/;Москва;sale;flat;5;7;1;52.7;17000000;Басманный;Нижняя Красносельская ;35С2;Бауманская;Kleinhouse
MR Group;developer;https://www.cian.ru/sale/flat/306611541/;Москва;sale;flat;2;59;1;30.4;;Можайский;;;Давыдково;Веер ЖК
Доступный дом;real_estate_agent;https://www.cian.ru/sale/flat/293926786/;Москва;sale;flat;3;17;1;35.4;14990000;; Эдварда Грига;15;Потапово;
ID 88424902;unknown;https://www.cian.ru/sale/flat/307156262/;Москва;sale;flat;2;5;1;40.0;9600000;; Жемчужная;1к4;Филатов Луг;
MR Group;developer;https://www.cian.ru/sale/flat/306603296/;Москва;sale;flat;7;36;1;40.9;30348986;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
ID 13044325;unknown;https://www.cian.ru/sale/flat/308859379/;Москва;sale;flat;22;32;1;37.35;17780000;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/307866245/;Москва;sale;flat;8;14;1;35.0;15000000;Гагаринский; Вавилова;52К4;Вавиловская;
Пионер;developer;https://www.cian.ru/sale/flat/305778449/;Москва;sale;flat;3;26;1;23.9;22602971;Даниловский;;;Павелецкая;Хай Лайф ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307986637/;Москва;sale;flat;11;14;1;35.0;13900000;Раменки;1-й Сетуньский проезд;10;Кутузовская;
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/307795498/;Москва;sale;flat;1;5;1;15.0;4950000;Пресненский;Стрельбищенский переулок;22А;Москва-Сити;
КОРТРОС;developer;https://www.cian.ru/sale/flat/305005720/;Москва;sale;flat;20;49;1;40.62;18197760;Марьина роща;;;Марьина Роща;Тэйт ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042658/;Москва;sale;flat;24;79;1;72.0;70000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/308881388/;Москва;sale;flat;9;9;1;31.4;9200000;Ростокино;проспект Мира;181;Ростокино;
Sense Development;developer;https://www.cian.ru/sale/flat/298147602/;Москва;sale;flat;7;13;1;58.8;37642247;Даниловский; Даниловский Вал;1А;Тульская;Logos
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307435494/;Москва;sale;flat;6;17;1;43.4;19100000;Даниловский;набережная Марка Шагала;15к1;Технопарк;Shagal
